Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1675.4529331492336
FDW14,OUT017,1360.3094705871702
NCN55,OUT010,608.8853192079791
FDQ58,OUT017,2471.8465044009185
FDY38,OUT027,6002.929826906924
FDH56,OUT046,1890.7640274918258
FDL48,OUT018,611.4089233675086
FDC48,OUT027,2197.5949963789794
FDN33,OUT045,1505.8905581463223
FDA36,OUT017,3189.611569764742
FDT44,OUT017,1903.6157698172249
FDQ56,OUT045,1341.6969781394114
NCC54,OUT019,632.768817944207
FDU11,OUT049,2061.927425636509
DRL59,OUT013,815.9383787159363
FDM24,OUT049,2471.1206876713522
FDI57,OUT045,3058.426294511215
DRC12,OUT018,2819.787704525611
NCM42,OUT027,2741.5034385937865
FDA46,OUT010,520.6417907314257
FDA31,OUT013,2859.363431952946
NCJ31,OUT035,3706.1485524543614
FDG52,OUT046,800.6884236049902
NCL19,OUT019,370.8603988783815
FDS10,OUT035,3017.824147374913
FDX22,OUT010,618.3333417188901
NCF19,OUT035,858.47983079881
NCE06,OUT046,2647.242407091576
DRC27,OUT046,3880.9078240124936
FDE21,OUT035,1946.6987170018424
NCR42,OUT019,56.41712601218611
FDX51,OUT018,2823.0198715068846
NCR06,OUT018,519.7771060485937
FDU31,OUT027,5448.7122673419435
FDU59,OUT017,2660.094149416975
FDR03,OUT027,5532.1706310673635
FDS49,OUT027,2209.7283297173126
FDD48,OUT010,339.11862396079977
NCF18,OUT017,3148.5017474912993
NCD43,OUT027,2683.464961243905
NCD54,OUT018,1790.8099291774483
FDY19,OUT010,332.6012371772203
NCY54,OUT017,2880.9775646370504
NCL19,OUT018,2189.1877156499013
FDP23,OUT010,612.5727907912767
FDC26,OUT013,1814.9248589833321
FDR14,OUT010,138.66351412020765
NCS41,OUT035,3219.156175920915
FDF41,OUT035,3697.205355029346
FDU34,OUT046,2048.338604673704
DRH11,OUT046,938.3568389090968
FDM03,OUT013,1613.2729814260977
FDS31,OUT017,2954.6740844359592
FDJ20,OUT017,2052.178530712266
FDV44,OUT027,5225.292182771259
FDG02,OUT049,3209.0400367894777
FDA09,OUT013,3006.9570656709293
FDT04,OUT013,684.5885807302369
FDL58,OUT019,758.30410597461
FDE52,OUT045,1374.704609219003
FDW12,OUT035,2544.3183770817814
FDL51,OUT017,3576.336635973811
NCY42,OUT027,3220.966158339093
FDR07,OUT017,1448.956262000333
FDN40,OUT045,2405.664247187563
FDB35,OUT027,2526.1768899678873
FDA22,OUT017,2647.8203449231974
NCL06,OUT046,4109.550940652721
FDI35,OUT013,2960.3758418857933
NCW42,OUT045,3602.0283960659253
NCX06,OUT049,3037.255797259455
FDC37,OUT027,2692.092903478951
FDZ14,OUT018,1821.2118094979926
DRG49,OUT049,3905.550451584216
NCG06,OUT045,3927.6725250342006
DRC36,OUT045,2816.7307543590127
FDV21,OUT019,347.2760325382608
FDB53,OUT046,2472.838510737266
DRP47,OUT019,738.5741915560666
FDA14,OUT013,2472.838510737266
DRC24,OUT035,2544.3183770817814
FDW21,OUT018,1473.011904179368
NCH29,OUT046,1551.124129577936
FDU58,OUT013,3173.6383103878475
FDY27,OUT017,2971.8370342309595
FDV56,OUT035,1724.7099941388483
FDT59,OUT046,3882.8243957172463
FDB23,OUT046,3665.076183828388
FDR49,OUT045,770.5523600531877
FDB03,OUT010,658.6258158629778
FDN39,OUT045,2557.8018407706986
FDX02,OUT027,5721.153801979687
FDQ16,OUT027,2670.320666305543
FDU35,OUT018,1399.6169088945787
NCT29,OUT013,2042.7226581189507
FDZ27,OUT046,783.8232183098736
FDN57,OUT017,2133.6148492784496
FDA03,OUT018,2164.6359734449306
