Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1848.0
FDW14,OUT017,1528.0
NCN55,OUT010,1876.0
FDQ58,OUT017,2592.0
FDY38,OUT027,5136.0
FDH56,OUT046,1920.0
FDL48,OUT018,608.0
FDC48,OUT027,2792.0
FDN33,OUT045,1508.0
FDA36,OUT017,3092.0
FDT44,OUT017,1996.0
FDQ56,OUT045,1310.0
NCC54,OUT019,1850.0
FDU11,OUT049,2048.0
DRL59,OUT013,910.0
FDM24,OUT049,2552.0
FDI57,OUT045,3090.0
DRC12,OUT018,2776.0
NCM42,OUT027,3208.0
FDA46,OUT010,1136.0
FDA31,OUT013,2804.0
NCJ31,OUT035,3880.0
FDG52,OUT046,796.0
NCL19,OUT019,366.0
FDS10,OUT035,3028.0
FDX22,OUT010,1466.0
NCF19,OUT035,934.0
NCE06,OUT046,2532.0
DRC27,OUT046,3848.0
FDE21,OUT035,2034.0
NCR42,OUT019,-1358.0
FDX51,OUT018,2878.0
NCR06,OUT018,442.0
FDU31,OUT027,4956.0
FDU59,OUT017,2712.0
FDR03,OUT027,4764.0
FDS49,OUT027,2760.0
FDD48,OUT010,-66.0
NCF18,OUT017,3124.0
NCD43,OUT027,3112.0
NCD54,OUT018,2006.0
FDY19,OUT010,-32.0
NCY54,OUT017,2814.0
NCL19,OUT018,2032.0
FDP23,OUT010,1536.0
FDC26,OUT013,1822.0
FDR14,OUT010,-1052.0
NCS41,OUT035,3036.0
FDF41,OUT035,4048.0
FDU34,OUT046,1992.0
DRH11,OUT046,928.0
FDM03,OUT013,1734.0
FDS31,OUT017,3030.0
FDJ20,OUT017,2102.0
FDV44,OUT027,4500.0
FDG02,OUT049,3108.0
FDA09,OUT013,2962.0
FDT04,OUT013,678.0
FDL58,OUT019,2284.0
FDE52,OUT045,1402.0
FDW12,OUT035,2514.0
FDL51,OUT017,3512.0
NCY42,OUT027,3704.0
FDR07,OUT017,1670.0
FDN40,OUT045,2362.0
FDB35,OUT027,2964.0
FDA22,OUT017,2740.0
NCL06,OUT046,4108.0
FDI35,OUT013,2922.0
